# hyperhyper-eval: 1
# language: fr
# kind: analogy
# fr/analogy/capitals.tsv -- generated offline by bench/datagen (ADR 0001, phase P2).
# Generator model was Claude Opus 4.8 (LLM-proposed, human web-verified); build date 2026-07-22.
# Status of this file: LLM-proposed base pairs, then independently fact-verified against non-LLM sources; NOT a raw LLM dump.
# Relation type is capital-country; it is one-to-one and fact-verifiable (a capital has exactly one country).
# Verification sources (2026-07-22): Wikipedia 'List of national capitals' for the capital fact,
#   https://en.wikipedia.org/wiki/List_of_national_capitals ;
#   French Wikipedia 'Liste des capitales du monde' for the French spelling,
#   https://fr.wikipedia.org/wiki/Liste_des_capitales_du_monde .
# Verified base pairs used: 63, at a 100 percent verification rate; canonical pairs live in bench/datagen/pairs/fr_capitals.tsv.
# Compiled deterministically with seed 0 and a per-base-pair source cap of K equal to 5 questions; 315 quadruples total.
# Every term is a single token under hyperhyper.preprocessing.tokenize_string; multi-token country names were excluded upstream.
a	a_prime	b	b_prime
bucarest	roumanie	harare	zimbabwe
bucarest	roumanie	bagdad	irak
bucarest	roumanie	chisinau	moldavie
zagreb	croatie	vienne	autriche
zagreb	croatie	ljubljana	slovénie
zagreb	croatie	bogota	colombie
zagreb	croatie	islamabad	pakistan
zagreb	croatie	montevideo	uruguay
ljubljana	slovénie	bangkok	thaïlande
ljubljana	slovénie	athènes	grèce
ljubljana	slovénie	bucarest	roumanie
ljubljana	slovénie	téhéran	iran
ljubljana	slovénie	sofia	bulgarie
bratislava	slovaquie	tripoli	libye
bratislava	slovaquie	bruxelles	belgique
bratislava	slovaquie	téhéran	iran
bratislava	slovaquie	ljubljana	slovénie
bratislava	slovaquie	kampala	ouganda
riga	lettonie	montevideo	uruguay
riga	lettonie	bagdad	irak
riga	lettonie	varsovie	pologne
riga	lettonie	canberra	australie
riga	lettonie	harare	zimbabwe
vilnius	lituanie	amman	jordanie
vilnius	lituanie	téhéran	iran
vilnius	lituanie	beyrouth	liban
vilnius	lituanie	sofia	bulgarie
vilnius	lituanie	chisinau	moldavie
tallinn	estonie	vienne	autriche
tallinn	estonie	amman	jordanie
tallinn	estonie	harare	zimbabwe
tallinn	estonie	vilnius	lituanie
tallinn	estonie	zagreb	croatie
reykjavik	islande	damas	syrie
reykjavik	islande	budapest	hongrie
reykjavik	islande	sofia	bulgarie
reykjavik	islande	helsinki	finlande
reykjavik	islande	copenhague	danemark
minsk	biélorussie	kampala	ouganda
minsk	biélorussie	helsinki	finlande
minsk	biélorussie	berlin	allemagne
minsk	biélorussie	doha	qatar
minsk	biélorussie	tunis	tunisie
kiev	ukraine	moscou	russie
kiev	ukraine	pékin	chine
kiev	ukraine	lisbonne	portugal
kiev	ukraine	vienne	autriche
kiev	ukraine	alger	algérie
chisinau	moldavie	accra	ghana
chisinau	moldavie	dublin	irlande
chisinau	moldavie	bogota	colombie
chisinau	moldavie	oslo	norvège
chisinau	moldavie	montevideo	uruguay
tokyo	japon	berlin	allemagne
tokyo	japon	khartoum	soudan
tokyo	japon	vienne	autriche
tokyo	japon	caracas	venezuela
tokyo	japon	rabat	maroc
pékin	chine	montevideo	uruguay
pékin	chine	khartoum	soudan
pékin	chine	bagdad	irak
pékin	chine	alger	algérie
pékin	chine	tallinn	estonie
bangkok	thaïlande	khartoum	soudan
bangkok	thaïlande	tripoli	libye
bangkok	thaïlande	kaboul	afghanistan
bangkok	thaïlande	berne	suisse
bangkok	thaïlande	harare	zimbabwe
islamabad	pakistan	budapest	hongrie
islamabad	pakistan	ottawa	canada
islamabad	pakistan	varsovie	pologne
islamabad	pakistan	caracas	venezuela
islamabad	pakistan	alger	algérie
kaboul	afghanistan	beyrouth	liban
kaboul	afghanistan	kampala	ouganda
kaboul	afghanistan	managua	nicaragua
kaboul	afghanistan	reykjavik	islande
kaboul	afghanistan	berne	suisse
bagdad	irak	kiev	ukraine
bagdad	irak	pékin	chine
bagdad	irak	tunis	tunisie
bagdad	irak	manille	philippines
bagdad	irak	rabat	maroc
téhéran	iran	santiago	chili
téhéran	iran	luanda	angola
téhéran	iran	bratislava	slovaquie
téhéran	iran	vienne	autriche
téhéran	iran	zagreb	croatie
damas	syrie	doha	qatar
damas	syrie	bruxelles	belgique
damas	syrie	pékin	chine
damas	syrie	beyrouth	liban
damas	syrie	ankara	turquie
beyrouth	liban	ljubljana	slovénie
beyrouth	liban	ottawa	canada
beyrouth	liban	copenhague	danemark
beyrouth	liban	budapest	hongrie
beyrouth	liban	madrid	espagne
amman	jordanie	dakar	sénégal
amman	jordanie	berne	suisse
amman	jordanie	bruxelles	belgique
amman	jordanie	tripoli	libye
amman	jordanie	prague	tchéquie
doha	qatar	riga	lettonie
doha	qatar	luanda	angola
doha	qatar	stockholm	suède
doha	qatar	ljubljana	slovénie
doha	qatar	minsk	biélorussie
ankara	turquie	kampala	ouganda
ankara	turquie	rome	italie
ankara	turquie	athènes	grèce
ankara	turquie	luanda	angola
ankara	turquie	oslo	norvège
manille	philippines	ottawa	canada
manille	philippines	rabat	maroc
manille	philippines	prague	tchéquie
manille	philippines	berlin	allemagne
manille	philippines	kampala	ouganda
tunis	tunisie	téhéran	iran
tunis	tunisie	doha	qatar
tunis	tunisie	santiago	chili
tunis	tunisie	montevideo	uruguay
tunis	tunisie	kaboul	afghanistan
alger	algérie	beyrouth	liban
alger	algérie	tunis	tunisie
alger	algérie	lisbonne	portugal
alger	algérie	madrid	espagne
alger	algérie	bruxelles	belgique
rabat	maroc	doha	qatar
rabat	maroc	copenhague	danemark
rabat	maroc	beyrouth	liban
rabat	maroc	khartoum	soudan
rabat	maroc	téhéran	iran
tripoli	libye	bruxelles	belgique
tripoli	libye	tallinn	estonie
tripoli	libye	vienne	autriche
tripoli	libye	riga	lettonie
tripoli	libye	khartoum	soudan
dakar	sénégal	bruxelles	belgique
dakar	sénégal	berlin	allemagne
dakar	sénégal	beyrouth	liban
dakar	sénégal	madrid	espagne
dakar	sénégal	copenhague	danemark
nairobi	kenya	canberra	australie
nairobi	kenya	helsinki	finlande
nairobi	kenya	rabat	maroc
nairobi	kenya	bruxelles	belgique
nairobi	kenya	tokyo	japon
accra	ghana	varsovie	pologne
accra	ghana	tripoli	libye
accra	ghana	harare	zimbabwe
accra	ghana	rome	italie
accra	ghana	montevideo	uruguay
abuja	nigeria	tunis	tunisie
abuja	nigeria	madrid	espagne
abuja	nigeria	kaboul	afghanistan
abuja	nigeria	minsk	biélorussie
abuja	nigeria	amman	jordanie
luanda	angola	athènes	grèce
luanda	angola	khartoum	soudan
luanda	angola	moscou	russie
luanda	angola	lisbonne	portugal
luanda	angola	prague	tchéquie
harare	zimbabwe	lisbonne	portugal
harare	zimbabwe	ankara	turquie
harare	zimbabwe	bucarest	roumanie
harare	zimbabwe	bratislava	slovaquie
harare	zimbabwe	minsk	biélorussie
kampala	ouganda	helsinki	finlande
kampala	ouganda	rome	italie
kampala	ouganda	bangkok	thaïlande
kampala	ouganda	chisinau	moldavie
kampala	ouganda	berlin	allemagne
khartoum	soudan	beyrouth	liban
khartoum	soudan	athènes	grèce
khartoum	soudan	alger	algérie
khartoum	soudan	tallinn	estonie
khartoum	soudan	copenhague	danemark
ottawa	canada	moscou	russie
ottawa	canada	bratislava	slovaquie
ottawa	canada	caracas	venezuela
ottawa	canada	tripoli	libye
ottawa	canada	tokyo	japon
lima	pérou	kampala	ouganda
lima	pérou	caracas	venezuela
lima	pérou	santiago	chili
lima	pérou	téhéran	iran
lima	pérou	stockholm	suède
bogota	colombie	alger	algérie
bogota	colombie	tunis	tunisie
bogota	colombie	varsovie	pologne
bogota	colombie	canberra	australie
bogota	colombie	accra	ghana
caracas	venezuela	rome	italie
caracas	venezuela	abuja	nigeria
caracas	venezuela	tunis	tunisie
caracas	venezuela	stockholm	suède
caracas	venezuela	khartoum	soudan
santiago	chili	stockholm	suède
santiago	chili	ljubljana	slovénie
santiago	chili	islamabad	pakistan
santiago	chili	moscou	russie
santiago	chili	bruxelles	belgique
montevideo	uruguay	beyrouth	liban
montevideo	uruguay	caracas	venezuela
montevideo	uruguay	kiev	ukraine
montevideo	uruguay	manille	philippines
montevideo	uruguay	helsinki	finlande
managua	nicaragua	paris	france
managua	nicaragua	tokyo	japon
managua	nicaragua	tunis	tunisie
managua	nicaragua	reykjavik	islande
managua	nicaragua	bogota	colombie
canberra	australie	téhéran	iran
canberra	australie	ottawa	canada
canberra	australie	bangkok	thaïlande
canberra	australie	caracas	venezuela
canberra	australie	bucarest	roumanie
