# hyperhyper-eval: 1
# title: SuperSim (similarity), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_similarity.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
medföra	skicka	0.6
prejudikat	föregångare	1.2
anarki	kaos	6.2
kön	jämlikhet	0.0
skådespelare	sångare	1.4
energi	sekreterare	0.0
självsäker	säker	4.8
metall	aluminium	2.8
psykologi	Freud	1.2
tiger	däggdjur	2.4
märkbar	uppenbar	5.6
pistol	kniv	1.0
strand	hav	0.4
pengar	huvudstad	0.0
bred	smal	0.2
årtionde	århundrade	1.8
samarbeta	delta	3.2
huvud	nagel	0.0
böna	kaffe	0.0
pistol	päls	0.0
golv	däck	1.4
blod	kött	0.8
augusti	månad	1.4
dugga	regn	3.6
sjuksköterska	forskare	0.4
ärlig	skyldig	0.0
situation	skick	0.6
pengar	uttag	0.0
bolag	företag	8.6
mål	sökande	0.0
cell	telefon	0.0
aritmetisk	rytm	0.0
måltid	middag	5.0
meter	gård	0.0
doktor	professor	4.4
bisarr	konstig	7.8
sjukdom	infektion	5.6
väder	prognos	1.4
fara	hot	7.2
kommunikation	tv	0.6
låna	be	0.8
mästare	vinnare	6.0
trevlig	generös	3.4
dålig	förfärlig	7.4
kurva	vinkel	2.0
strand	kust	5.8
sommar	natur	0.0
president	borgmästare	2.6
start	match	0.0
snabb	hastig	7.6
ilska	raseri	7.8
ärm	axel	0.2
stil	mode	5.4
stil	sätt	6.0
kapten	sjöman	4.6
gård	tum	0.0
leverera	bära	1.0
gata	barn	0.0
fartyg	ven	0.0
tiger	kattdjur	5.0
mus	katt	0.2
styrka	förmåga	4.0
moln	storm	0.4
acceptera	avvisa	0.2
planet	galax	0.0
öl	champagne	1.0
innertak	katedral	0.0
whisky	champagne	1.4
kopp	kaffe	0.6
volontär-	motto	0.0
bra	förfärlig	0.2
anlända	lämna	0.0
dag	morgon	3.0
bil	vagn	2.2
barriär	gräns	7.2
jurist	bevis	0.0
acceptera	förlåta	1.6
vän	kompis	9.0
bil	fabrik	0.0
nagel	tumme	0.2
bil	horn	0.0
knulla	sex	6.8
organisera	bli	0.0
slug	konstig	0.6
tala	höra	0.0
vinnare	mål	0.0
dålig	fruktansvärd	7.0
telefon	utrustning	0.0
högskola	klass	0.4
kopp	mat	0.0
molekyl	atom	4.4
vinst	varning	0.0
båt	däck	0.6
företag	firma	9.2
åberopa	be	0.4
kött	bacon	2.6
bröd	mjöl	0.0
ge	veta	0.0
blomma	uthållighet	0.0
skiva	siffra	0.0
spel	serier	0.4
veta	tro	2.2
höft	läpp	0.4
befolkning	utveckling	0.0
bubbla	såplödder	4.4
Arafat	Jackson	0.0
dag	sommar	0.2
hjältinna	hjälte	7.4
undersökning	ansträngning	0.0
lista	närhet	0.0
ord	ledtråd	0.6
tallrik	skål	4.0
chans	trovärdighet	0.0
ackord	leende	0.0
känsla	passion	4.4
farbror	moster	2.6
acceptera	leverera	0.0
häst	oxe	1.4
vånda	sorg	5.2
FBI	undersökning	0.0
ärm	knä	0.2
lyssna	lyda	2.8
upptäckt	utrymme	0.0
barn	pojke	5.0
man	guvernör	0.6
äpple	citron-	1.6
kapitel	svans	0.0
psykologi	disciplin	0.2
område	region	7.8
pistol	gryning	0.0
skapa	bygga	4.8
fågel	kran	0.0
konsert	virtuos	0.0
pappa	mor	2.2
låtsas	tänka	0.0
djärv	stolt	0.2
smör	potatis	0.2
dator	nyheter	0.0
tiger	organism	0.6
smart	korkad	0.0
funktionshinder	död	0.0
bok	bibliotek	0.6
undersöka	kontrollera	3.6
öl	alkohol	4.4
hjälpare	hembiträde	3.0
taxi	buss	1.8
media	handel	0.0
mink	päls	0.6
arbetstagare	kamera	0.0
nyheter	rapportera	0.4
bad	lura	0.0
vrist	fönster	0.0
aning	bild	0.0
spel	team	0.0
fras	ord	3.0
stråle	solsken	2.2
ris	pojke	0.0
uppnå	försöka	0.0
ledare	chef	7.0
äpple	godis	0.8
tro	begrepp	0.0
aning	schema	0.0
svår	enkel	0.4
kommunicera	be	1.4
man	krigare	2.0
baseboll	säsong	0.0
dörr	korridor	1.2
bror	son	1.2
spjälsäng	vagga	4.4
dum	smart	0.2
andas	strypa	0.0
president	medalj	0.0
lycklig	glad	7.4
hård	grym	5.8
ge	låna	0.8
liv	termin	0.0
gång	hall	3.8
maskin	motor	3.4
pistol	lura	0.0
besluta	välja	4.2
uppnå	lyckas	6.8
psykologi	rädsla	0.2
hus	matta	0.0
ge	tillåta	0.4
media	radio	1.8
rum	cell	2.2
tandläkare	överste	0.2
pengar	kontanter	7.0
band	parad	0.0
låt	berättelse	0.6
ordna	organisera	5.8
fiende	motståndare	5.6
lång	smal	0.0
torn	kapell	0.8
underbar	fantastisk	9.0
anta	förutspå	2.6
tillkännagivande	varning	0.6
torn	klocka	0.0
måne	planet	2.4
doktor	ortodontist	3.6
tiger	zoo	0.0
psykologi	depression	0.0
göra	bli	0.0
klaga	bråka	2.6
bok	papper	0.8
rör	cigarr	0.8
dålig	skyldig	0.4
överflöd	massor	7.2
skapare	tillverkare	7.4
attityd	förtroende	0.0
sprit	band	0.0
torp	stuga	6.6
formell	rätt	0.0
fot	huvud	0.4
bil	motorväg	0.0
gå	tillåta	0.0
doktor	humör	0.0
säng	sjukhus	0.0
nagel	hand	0.2
vägg	dekoration	0.0
kille	bror	1.4
fågel	tupp	2.4
kväll	skymning	6.6
spel	roligt	0.2
hav	ocean	8.6
utföra	bli	0.0
tå	finger	1.6
kropp	mage	0.8
tidskrift	förening	0.0
papper	kartong	4.2
medföra	återställ	0.0
alkohol	whisky	3.4
vetenskap	psykologi	1.4
fru	sugrör	0.0
hall	korridor	4.2
skyldig	skamsen	1.4
aktie	liv	0.0
döda	hänga	1.0
bar	fängelse	0.2
mage	midja	4.0
låna	sälja	0.0
glas	magiker	0.0
dollar	förlust	0.0
häst	hingst	5.8
förorening	president	0.0
aktie	CD	0.0
produktion	besättning	0.0
bil	mätare	0.0
fotboll	basketboll	1.6
brud	prinsessa	0.8
spara	skydda	0.0
magiker	trollkarl	8.2
elegans	stil	4.4
mästerskap	turnering	8.0
psykologi	psykiatri	4.6
döda	förstöra	2.0
dag	gryning	2.2
mjölk	juice	1.2
ärkebiskop	biskop	6.8
alkohol	gin	2.6
medium	nyheter	0.4
gå	sälja	0.0
öl	dryck	2.2
psalm	sugrör	0.0
prejudikat	exempel	2.6
moln	dis	3.2
moln	töcken	1.2
gurka	potatis	0.6
aktivitet	rörelse	4.6
psykologi	klinik	0.0
biografi	fiktion	0.2
influensa	feber	1.8
ben	käke	1.0
tala	erkänna	0.6
helgen	vecka	0.4
katt	lejon	3.0
präst	munk	4.0
ledsen	rolig	1.0
acceptera	förneka	0.0
man	far	3.0
hård	enkel	0.0
sallad	vinäger	0.0
vitamin	järn	0.6
sol	himmel	0.4
bestämma	förutspå	0.0
verklighet	illusion	0.2
vinnare	närvaro	0.0
dollar	yen	2.2
våldsam	arg	3.0
nätverk	hårdvara	0.2
fred	försäkring	0.0
Mars	vatten	0.0
hysteri	förvirring	3.2
sida	paragraf	0.8
handväska	väska	5.8
vodka	brandy	1.8
tro	intryck	0.0
okunnighet	intelligens	0.2
färd	bil	0.0
bok	information	1.0
Gud	byte	0.0
lämna	vandra	0.0
acceptera	tro	0.0
anledning	kriterium	2.2
gata	blockera	0.0
väldig	flexibel	0.0
ballad	låt	4.6
ravin	landskap	1.0
ny	färsk	6.8
pakt	skick	0.0
ädelsten	juvel	7.8
ris	böna	1.0
sekreterare	senat	0.0
hård	tuff	6.8
slug	smart	6.6
tiger	djur	2.2
socker	honung	1.8
ärm	muskel	0.0
död	begravning	1.0
biff	kött	4.2
underbar	bra	5.8
kvinna	päls	0.0
hund	häst	1.6
blomma	violett	0.8
aggression	fientlighet	4.8
meter	tum	2.2
fråga	be	6.4
uppmärksamhet	intressera	0.6
utrymme	kemi	0.0
pengar	dollar	4.4
dollar	vinst	0.6
pengar	Bank	0.6
boll	handske	0.0
gränd	skål	0.0
ta	stjäla	6.2
film	filma	0.6
chef	borgmästare	1.8
far	förälder	6.0
grundläggande	nödvändig	4.4
dröjsmål	nyheter	0.0
vatten	is	3.2
slang	trädgård	0.0
boxning	runda	0.0
psykologi	hälsa	0.0
problem	flygplats	0.0
död	rad	0.0
tiger	katt	3.4
kusin	farbror	0.8
liv	död	0.2
märklig	vanlig	0.2
lyx	bil	0.0
fördom	erkännande	0.0
gammal	färsk	0.2
bror	munk	2.8
Gud	präst	0.0
förklara	meddela	2.0
flod	hav	1.8
ord	litteratur	1.0
försvinna	krympa	3.0
samla	spara	5.6
situation	isolering	0.0
alkohol	brandy	2.4
författare	läsare	0.2
musik	projekt	0.0
lunchtid	sträng	0.0
prejudikat	kognition	0.2
regering	kris	0.0
dryck	mor	0.0
ben	ärm	0.4
prinsessa	ö	0.0
påminna	sälja	0.0
storlek	magnitud	6.0
storlek	omfattning	6.6
linje	försäkring	0.0
trä	skog	1.0
hård	svår	2.4
hand	handled	1.6
förstå	veta	1.4
skiva	dator	0.0
avvisa	undvika	2.2
bror	själ	0.0
ögonbryn	öga	0.2
dum	dåraktig	7.0
fågel	höna	2.8
kort	bro	0.0
planet	astronom	0.0
blygsam	flexibel	0.0
läsa	förstå	0.6
dörr	kök	0.0
opera	prestanda	0.0
flytande	vatten	1.4
porträttera	besluta	0.0
kort	lång	0.2
lag	jurist	0.4
kind	tunga	0.2
kommunikation	språk	3.2
snabbt	hastig	6.4
försök	fred	0.0
pojke	partner	0.4
säd	senap	0.0
OPEC	olja	1.0
kyckling	biff	1.0
strand	skog	0.8
visdom	intelligens	8.0
strand	ö	0.4
flygtrafik	flyg	5.4
Arafat	skräck	0.0
skicka	närvara	0.0
diskutera	förklara	1.2
dollar	människor	0.0
handling	kurs	0.0
kropp	nerv	0.2
riktmärke	index	2.2
ordna	kräva	0.0
regn	dimma	0.8
ärm	nacke	0.4
färsk	bred	0.0
natur	miljö	6.4
pojke	soldat	0.6
smart	student	0.0
bröd	ost	0.2
öva	institution	0.0
feber	sjukdom	2.8
förstå	förlåta	0.0
förstörelse	konstruktion	0.0
ben	vrist	1.2
kvinna	sekreterare	0.6
konsument	energi	0.0
hjärta	kirurgi	0.2
låda	hiss	1.0
Jerusalem	Israel	1.0
kropp	axel	0.4
film	stjärna	0.0
väldig	enorm	8.6
aktie	ägg	0.0
lokalisera	hitta	8.0
lätt	tuff	0.2
territorium	kilometer	0.0
arkitektur	århundrade	0.0
horn	trumma	0.0
insekt	bi	3.4
lins	kamera	1.6
kung	råka	0.0
kommunikation	konversation	5.0
jämföra	analysera	3.0
lämna	förbli	0.0
polyester	bomull	1.2
tröja	jacka	2.0
säng	garderob	0.4
förklara	bevisa	2.8
bil	slang	0.0
tvål	opera	0.0
gå	komma	0.6
vinnare	kandidat	0.6
atmosfär	landskap	0.0
spel	runda	1.0
stor	bred	4.0
minska	krympa	7.0
erkänna	meddela	1.0
pojke	son	3.8
olycka	katastrof	5.6
offer	nödsituation	0.0
fågel	kalkon	2.6
snälla	åberopa	0.0
plan	flygplats	0.0
garderob	kläder	1.6
stuga	hydda	3.8
snälla	underhålla	0.0
avgift	betalning	3.8
enorm	dum	0.0
hummer	mat	1.8
dum	sällsynt	0.0
njure	organ	2.4
fysik	proton	0.2
Arafat	fred	0.0
uppgift	jobb	5.2
exotisk	sällsynt	5.6
överväga	tänka	6.2
glas	kristall-	2.4
ljud	skallra	0.2
acceptera	erkänna	1.8
dusch	översvämning	0.0
man	make	5.6
billig	snål	0.2
kurs	mage	0.0
utnämning	engagemang	0.0
färd	erövring	0.2
bad	ballong	0.0
vodka	gin	2.4
flaska	behållare	4.6
armé	legion	6.4
bok	ämne	0.0
hals	näsa	0.4
slag	erövring	2.4
ko	nötkreatur	7.8
människor	pistol	0.0
död	fånge	0.0
skapa	göra	5.4
brottslighet	stöld	2.4
student	professor	0.2
jaguar	katt	3.2
rytm	melodi	3.2
göra	sluta	0.0
bedriva	övertala	0.0
smärta	skada	1.0
polis	sheriff	5.8
opartiskhet	intressera	0.0
åsikt	val	0.0
mor	väktare	0.0
människor	fest	0.0
bekvämlighet	säkerhet	0.8
lärare	rabbin	1.8
film	teater	2.6
ord	sida	0.0
förstöra	konstruera	0.0
tänka	undersöka	2.0
arbetsgivare	anställd	0.4
erfarenhet	musik	0.0
skydd	hydda	0.6
dator	programvara	0.6
spel	seger	0.0
alkohol	kemi	0.0
jurist	bankman	2.0
kopp	artikel	0.0
lura	storlek	0.0
nyligen	ny	2.6
inspektera	kontrollera	6.2
kalv	tjur	3.4
träd	lönn	4.0
åsikt	aning	0.2
åsikt	idé	2.8
registrering	arrangemang	0.0
lastad	tung	2.6
konservburk	aluminium	0.4
råda	rekommendera	7.8
bära	medföra	1.6
gata	plats	1.6
kläder	knapp	0.2
flicka	hembiträde	1.0
vin	sprit	2.2
badrum	kök	1.6
sprit	århundrade	0.0
land	medborgare	0.0
pengar	drift	0.0
färd	resa	8.4
norr	västerut	0.6
boll	förklädnad	0.0
kyrka	kör	0.0
psykologi	sinne	0.0
psykologi	ångest	0.0
prejudikat	lag	4.0
bil	hiss	0.0
säng	sovrum	0.4
intelligens	insikt	0.6
departement	kultur	0.0
lärare	instruktör	6.6
doktor	sjuksköterska	2.6
resa	aktivitet	0.8
pojke	unge	4.0
anta	låtsas	0.4
tro	blomma	0.0
jobb	förvaltning	0.0
prejudikat	information	0.2
hatt	täcka	0.0
hatt	kappa	0.8
bil	automobil	9.2
uppdrag	uppgift	7.6
befolkning	människor	4.8
planet	stjärna	2.8
Mars	forskare	0.0
förstå	uppfylla	0.0
tak	golv	0.8
axel	huvud	0.2
dator	laboratorium	0.0
elastisk	flexibel	5.8
dörr	golv	0.2
måltid	midja	0.0
säng	möbel	2.0
brottslighet	överträdelse	4.2
omständighet	situation	7.0
hummer	vin	0.2
får	lamm	3.6
ek	lönn	2.6
dörr	dörröppning	3.4
monster	demon	6.0
finger	handflata	0.2
tro	åsikt	3.6
diskussion	gräl	4.6
modern	uråldrig	0.2
höna	kalkon	3.2
firande	ceremoni	4.8
kust	kulle	0.2
lägenhet	möbel	0.0
skaldjur	hav	0.0
fem	månad	0.0
pojke	kille	9.2
lätt	stor	0.0
stark	stolt	0.0
födelsedag	datum	1.2
tv	filma	0.0
gata	bil	0.0
vacker	underbar	4.0
förtvivlan	elände	5.0
frånvaro	närvaro	0.2
människor	ballong	0.0
tennis	racket	0.0
lyckas	misslyckas	0.2
hälsa	träffa	1.2
vinst	förlust	0.2
ge	förneka	0.0
kredit	kort	0.0
logik	aritmetisk	2.4
tiger	jaguar	2.2
kyckling	ris	0.2
flod	dal	0.2
döda	försvara	0.6
uppgift	kvinna	0.0
hård	lätt	0.2
odjur	djur	1.8
gräl	överenskommelse	0.0
miljö	ekologi	2.4
konkurrens	pris	0.0
syn	uppfattning	5.0
kust	skog	0.2
hud	öga	0.2
mat	frukt	1.8
bok	text	4.2
högskola	yrke	0.0
duo	par	8.6
mage	buk	8.6
natt	dag	0.2
Maradona	fotboll	0.0
ord	tidning	0.4
värld	klot	2.2
kopp	flytande	0.0
arrangemang	boende	0.0
klippa	svans	0.0
pengar	valuta	5.2
problem	utmaning	6.2
skål	svans	0.0
uppgift	motorväg	0.0
hård	tät	2.2
munk	orakel	0.4
maraton	sprinta	1.0
film	kritiker	0.0
fysik	kemi	2.0
märklig	konstig	8.4
sjö	träsk	4.8
bevis	faktum	6.2
kopp	entitet	0.8
hand	tumme	0.4
soffa	stol	2.8
stroke	sjukhus	0.0
berg	avsats	1.2
förtjäna	tjäna	2.4
glas	metall	0.8
planet	människor	0.0
Mexico	Brasilien	0.6
gammal	ny	0.2
säng	soffa	1.2
älskare	följeslagare	1.8
teater	historia	0.0
djur	person	0.8
ledsen	fruktansvärd	0.8
galen	glad	0.2
verklighet	fantasi	0.6
desorganisera	organisera	0.2
luft	helium	2.0
mage	sovrum	0.0
intelligens	skicklighet	1.8
ko	get	1.4
låda	bås	2.4
hål	överenskommelse	0.0
hus	lada	2.6
munk	slav	0.2
olaglig	omoralisk	2.4
sorg	skam	1.0
bok	uppsats	1.2
ord	ordbok	0.0
pengar	egendom	3.0
pengar	egenskap	0.2
fertilitet	ägg	0.6
spel	nederlag	0.0
frustration	ilska	6.0
ugn	spis	4.4
ståltråd	sladd	1.6
vän	mor	0.2
väldig	stor	8.6
planet	konstellation	0.4
utställning	memorabilia	0.0
tänka	rationalisera	5.8
kläder	täcka	0.0
kläder	kappa	2.2
förbli	behålla	0.8
låda	cigarr	0.0
analysera	utvärdera	6.8
ansträngning	svårighet	3.0
dryck	mun	0.0
bad	fru	0.0
datum	kalender	0.0
vänlig	generös	3.4
humör	känsla	3.2
kläder	låda	0.0
professor	gurka	0.0
utforska	upptäcka	3.6
sked	kopp	0.4
nerv	hjärna	0.0
kropp	bröst	1.0
trä	papper	0.6
pengar	diamant	0.0
lever	lunga	1.0
känsla	intuition	7.0
katt	sällskapsdjur	3.8
olycka	nödsituation	4.8
ta	äga	0.6
råtta	mus	4.2
underrätta	meddela	8.2
tråkig	rolig	0.2
vuxen	väktare	0.4
middag	kyckling	0.0
biskop	rabbin	2.8
tidning	information	1.0
smutsig	smal	0.0
gräs	blad	1.6
uppställning	avresa	0.0
människor	cent	0.0
motell	värdshus	5.0
medföra	klaga	0.0
samla	närvara	0.0
man	segrare	0.2
koda	symbol	0.0
lyssna	höra	6.6
avslag	bekännelse	0.0
inträffa	hända	9.6
folkmassa	knippe	0.4
alkohol	vin	2.4
ben	tänder	0.6
rabbin	minister	0.6
boll	kanon	1.0
dekoration	mod	0.0
sjuk	tokig	2.6
kapitel	val	0.0
arbetstagare	arbetsgivare	0.4
gata	gränd	3.8
mun	tand	0.4
fiol	instrument	2.8
förtroende	själv	0.0
energi	laboratorium	0.0
smörgås	lunch	1.4
bil	bro	0.0
sommar	torka	0.8
gå	skicka	0.0
mål	pil	0.0
kopp	ämne	0.0
författare	skapare	4.4
ta	leverera	0.0
utnämna	utse	8.4
säga	kontrollera	0.0
komma	medföra	0.0
dum	intelligent	0.2
utgång	dörröppning	4.2
kille	flicka	3.4
val	ven	0.0
komma	närvara	4.0
säng	stol	1.0
månad	hotell	0.0
frukost	bacon	0.0
plan	jet	6.4
telefon	bås	0.0
man	barn	0.4
broderskap	dörr	0.0
brev	paragraf	0.0
choklad	paj	0.6
citron-	te	0.0
doktor	personal	1.4
hundra	procent	0.0
lista	kategori	0.0
kläder	tyg	1.2
förälder	vuxen	2.2
olja	mink	0.0
golv	innertak	0.8
flingor	vete	0.4
närvaro	dörr	0.0
betraktare	serie	0.0
beskatta	inkomst	0.0
situation	slutsats	0.0
säng	spjälsäng	5.2
lem	ben	3.8
döda	strypa	3.4
fågel	hök	3.2
tak	innertak	5.0
middagstid	lunchtid	2.4
strand	rev	1.4
aktie	telefon	0.0
topp	sida	0.6
livsmedelsbutik	pengar	0.0
stjäla	köpa	0.4
olycklig	galen	0.0
olycklig	arg	0.4
kung	prinsessa	2.4
uppnå	utföra	1.4
dålig	fantastisk	0.2
inse	upptäcka	5.6
psalm	erövring	0.0
utdelning	betalning	1.6
får	nötkreatur	1.2
kung	drottning	4.6
tiger	fauna	0.6
härlig	glad	1.8
låtsas	verka	3.6
lätt	svår	0.2
klargöra	förklara	8.4
kopp	kon	0.4
artikel	tidskrift	2.2
upphöra	försvinna	5.6
rätt	rättvisa	3.8
bebis	dotter	2.2
stång	gardin	0.0
museum	teater	0.8
stor	tung	1.4
soffa	baseboll	0.0
lämna	gå	2.2
mobb	folkmassa	4.6
natt	kapitel	0.0
linne	tyg	2.6
guvernör	intervju	0.0
psykologi	doktor	0.4
moln	dimma	3.0
klocka	dörr	0.0
skicka	motta	0.0
ankomst	hotell	0.0
seger	triumf	8.0
diet	sallad	0.4
reflektion	bild	3.0
media	tjäna	0.0
dröjsmål	rasism	0.0
roligt	fotboll	0.0
betagen	dominera	0.0
århundrade	nation	0.0
armé	trupp	7.4
anlända	komma	7.4
bi	drottning	0.0
pengar	pärla	0.0
stol	bänk	2.8
dryck	öra	0.0
vatten	salt	0.2
bråka	bevisa	0.0
rättegång	dom	1.2
moln	väder	1.0
båt	ankare	0.2
barn	vuxen	0.4
cykel	sovrum	0.0
kille	hingst	1.6
uthållighet	band	0.0
bil	cykel	0.8
hitta	försvinna	0.0
födelsedag	år	0.0
start	år	0.0
trist	tråkig	9.0
bröd	smör	0.2
musik	melodi	5.6
lätt	flexibel	0.0
kemi	teori	0.0
krig	trupper	0.2
berättelse	ämne	0.0
äpple	juice	0.0
katt	kanin	0.8
ge	sätta	0.0
Harvard	Yale	3.0
formel	ekvation	7.0
folkmassa	parad	1.4
kärlek	sex	0.8
tiger	rovdjur	2.8
logga	timmer	0.0
läger	stuga	0.0
kopp	porslin	2.2
kopp	burk	1.8
undersöka	bedriva	0.0
upptäcka	härröra	0.0
planet	utrymme	0.0
firma	aktie	0.0
dörr	källare	0.0
broderskap	baseboll	0.0
anatomi	biologi	1.4
pengar	deposition	2.0
blygsam	skamsen	1.8
stridande	besegra	0.0
område	hörn	0.2
göra	konstruera	6.0
misslyckas	avskräcka	0.2
ge	stjäla	0.0
skola	klass	0.8
skola	betyg	0.0
ta	erhålla	0.4
man	farbror	3.2
förändra	attityd	0.0
fängelse	val	0.0
hund	räv	1.8
valuta	marknadsföra	0.0
äpple	solsken	0.0
fred	atmosfär	0.0
brottslighet	bedrägeri	4.0
natur	man	0.0
bli	verka	0.6
logga	bad	0.0
hem	stat	0.0
hem	tillstånd	0.0
skydda	försvara	7.2
storlek	framträdande	0.0
onödig	nödvändig	0.2
FBI	fingeravtryck	0.0
man	vakt	0.8
mat	förberedelse	0.0
säga	delta	0.0
utrymme	värld	0.2
investerare	intjäning	0.0
avgift	lön	0.2
galen	tokig	8.4
spel	lura	0.0
pakt	överenskommelse	7.4
krympa	växa	0.2
ravin	dal	2.8
ta	motta	2.2
whisky	gin	2.4
liv	lektion	0.0
storm	orkan	6.0
tv	radio	1.2
kompositör	författare	2.6
